calling_file,referenced_path,resolved_absolute_path,status
./frontend/node_modules/next/dist/esm/server/next.js,./lib/start-server,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/lib/server-ipc/index.js,http,OK,OK
./frontend/node_modules/next/dist/esm/server/lib/server-ipc/request-utils.js,next/dist/compiled/@next/react-dev-overlay/dist/middleware,OK,OK
./frontend/node_modules/next/dist/esm/server/lib/incremental-cache/index.js,../server-ipc/request-utils,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/lib/incremental-cache/index.js,../server-ipc/request-utils,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/lib/incremental-cache/index.js,crypto,OK,OK
./frontend/node_modules/next/dist/esm/server/lib/incremental-cache/index.js,../server-ipc/request-utils,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/lib/incremental-cache/index.js,../server-ipc/request-utils,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/lib/router-utils/setup-dev-bundler.js,../../../build/swc,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/lib/router-utils/setup-dev-bundler.js,next/dist/compiled/babel/code-frame,OK,OK
./frontend/node_modules/next/dist/esm/server/lib/router-utils/proxy-request.js,next/dist/compiled/http-proxy,OK,OK
./frontend/node_modules/next/dist/esm/server/lib/cpu-profile.js,inspector,OK,OK
./frontend/node_modules/next/dist/esm/server/lib/cpu-profile.js,fs,OK,OK
./frontend/node_modules/next/dist/esm/server/lib/router-server.js,./router-utils/setup-dev-bundler,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/lib/router-server.js,next/dist/experimental/testmode/server,OK,OK
./frontend/node_modules/next/dist/esm/server/post-process.js,next/dist/compiled/node-html-parser,OK,OK
./frontend/node_modules/next/dist/esm/server/post-process.js,./optimize-amp,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/post-process.js,critters,OK,OK
./frontend/node_modules/next/dist/esm/server/dev/hot-reloader-webpack.js,crypto,OK,OK
./frontend/node_modules/next/dist/esm/server/dev/next-dev-server.js,next/dist/compiled/amphtml-validator,OK,OK
./frontend/node_modules/next/dist/esm/server/require-hook.js,path,OK,OK
./frontend/node_modules/next/dist/esm/server/require-hook.js,module,OK,OK
./frontend/node_modules/next/dist/esm/server/next-server.js,./image-optimizer,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/next-server.js,./image-optimizer,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/next-server.js,./serve-static,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/next-server.js,../lib/format-server-error,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/next-server.js,next/dist/experimental/testmode/server,OK,OK
./frontend/node_modules/next/dist/esm/server/next-server.js,./image-optimizer,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/next-server.js,next/dist/experimental/testmode/server,OK,OK
./frontend/node_modules/next/dist/esm/server/next-server.js,../lib/picocolors,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/next-server.js,./web/sandbox,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/next-server.js,./web/sandbox,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/font-utils.js,next/dist/server/capsize-font-metrics.json,OK,OK
./frontend/node_modules/next/dist/esm/server/future/route-modules/app-page/module.render.js,./module.compiled,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/future/route-modules/pages/module.render.js,./module.compiled,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/api-utils/index.js,next/dist/compiled/cookie,OK,OK
./frontend/node_modules/next/dist/esm/server/api-utils/node/parse-body.js,next/dist/compiled/raw-body,OK,OK
./frontend/node_modules/next/dist/esm/server/api-utils/node/parse-body.js,querystring,OK,OK
./frontend/node_modules/next/dist/esm/server/api-utils/node/try-get-preview-data.js,next/dist/compiled/jsonwebtoken,OK,OK
./frontend/node_modules/next/dist/esm/server/api-utils/node/try-get-preview-data.js,../../crypto-utils,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/api-utils/node/api-resolver.js,next/dist/compiled/cookie,OK,OK
./frontend/node_modules/next/dist/esm/server/api-utils/node/api-resolver.js,next/dist/compiled/jsonwebtoken,OK,OK
./frontend/node_modules/next/dist/esm/server/api-utils/node/api-resolver.js,../../crypto-utils,MISSING,MISSING
./frontend/node_modules/next/dist/esm/server/api-utils/node/api-resolver.js,next/dist/compiled/cookie,OK,OK
./frontend/node_modules/next/dist/esm/server/api-utils/get-cookie-parser.js,next/dist/compiled/cookie,OK,OK
./frontend/node_modules/next/dist/esm/shared/lib/page-path/normalize-page-path.js,path,OK,OK
./frontend/node_modules/next/dist/esm/shared/lib/bloom-filter.js,next/dist/compiled/gzip-size,OK,OK
./frontend/node_modules/next/dist/esm/shared/lib/image-loader.js,./match-remote-pattern,MISSING,MISSING
./frontend/node_modules/next/dist/esm/shared/lib/router/router.js,next/dist/compiled/react-is,OK,OK
./frontend/node_modules/next/dist/esm/shared/lib/router/router.js,../../lib/bloom-filter,MISSING,MISSING
./frontend/node_modules/next/dist/esm/lib/resolve-from.js,module,OK,OK
./frontend/node_modules/next/dist/esm/lib/turbopack-warning.js,../lib/helpers/get-pkg-manager,MISSING,MISSING
./frontend/node_modules/next/dist/esm/lib/turbopack-warning.js,../build/get-babel-config-file,MISSING,MISSING
./frontend/node_modules/next/dist/esm/lib/turbopack-warning.js,../server/config-shared,MISSING,MISSING
./frontend/node_modules/next/dist/esm/lib/turbopack-warning.js,../lib/picocolors,MISSING,MISSING
./frontend/node_modules/next/dist/esm/lib/turbopack-warning.js,../lib/interop-default,MISSING,MISSING
./frontend/node_modules/next/dist/esm/lib/typescript/diagnosticFormatter.js,next/dist/compiled/babel/code-frame,OK,OK
./frontend/node_modules/next/dist/esm/lib/verify-typescript-setup.js,./typescript/runTypeCheck,MISSING,MISSING
./frontend/node_modules/next/dist/esm/lib/download-swc.js,node:stream/web,OK,OK
./frontend/node_modules/next/dist/esm/lib/verify-root-layout.js,next/dist/compiled/glob,OK,OK
./frontend/node_modules/next/dist/esm/lib/eslint/runLintCheck.js,next/dist/compiled/cli-select,OK,OK
./frontend/node_modules/next/dist/esm/lib/metadata/resolve-metadata.js,./clone-metadata,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/load-jsconfig.js,next/dist/compiled/json5,OK,OK
./frontend/node_modules/next/dist/esm/build/load-jsconfig.js,next/dist/compiled/babel/code-frame,OK,OK
./frontend/node_modules/next/dist/esm/build/index.js,next/dist/compiled/glob,OK,OK
./frontend/node_modules/next/dist/esm/build/index.js,../export,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/index.js,../export,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack-build/index.js,./impl,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack/config/blocks/css/index.js,postcss,OK,OK
./frontend/node_modules/next/dist/esm/build/webpack/config/blocks/css/index.js,../../../plugins/mini-css-extract-plugin,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack/config/blocks/css/loaders/client.js,../../../../plugins/mini-css-extract-plugin,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack/plugins/terser-webpack-plugin/src/index.js,../../../../swc,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack/plugins/wellknown-errors-plugin/parseScss.js,next/dist/compiled/babel/code-frame,OK,OK
./frontend/node_modules/next/dist/esm/build/webpack/plugins/middleware-plugin.js,../../../lib/known-edge-safe-packages.json,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack/loaders/css-loader/src/index.js,./utils,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack/loaders/css-loader/src/index.js,./plugins,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack/loaders/next-flight-loader/action-client-wrapper.js,react-server-dom-webpack/client,OK,OK
./frontend/node_modules/next/dist/esm/build/babel/loader/get-config.js,../plugins/commonjs,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/babel/loader/get-config.js,next/dist/compiled/babel/plugin-transform-modules-commonjs,OK,OK
./frontend/node_modules/next/dist/esm/build/collect-build-traces.js,next/dist/compiled/glob,OK,OK
./frontend/node_modules/next/dist/esm/build/utils.js,next/dist/server/lib/start-server,OK,OK
./frontend/node_modules/next/dist/esm/build/webpack-config.js,../lib/server-external-packages.json,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack-config.js,./swc,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack-config.js,./webpack/plugins/terser-webpack-plugin/src/index.js,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack-config.js,./webpack/plugins/css-minimizer-plugin,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack-config.js,./webpack/plugins/nextjs-require-cache-hot-reloader,MISSING,MISSING
./frontend/node_modules/next/dist/esm/build/webpack-config.js,./webpack/plugins/font-stylesheet-gathering-plugin,MISSING,MISSING
./frontend/node_modules/next/dist/esm/export/worker.js,../shared/lib/runtime-config.external,MISSING,MISSING
./frontend/node_modules/next/dist/esm/pages/_document.js,../lib/pretty-bytes,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/get-domain-locale.js,./normalize-locale-path,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/get-domain-locale.js,./detect-domain-locale,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/legacy/image.js,../../shared/lib/match-remote-pattern,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/index.js,next/dist/compiled/@next/react-dev-overlay/dist/client,OK,OK
./frontend/node_modules/next/dist/esm/client/index.js,../shared/lib/i18n/normalize-locale-path,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/index.js,../shared/lib/i18n/detect-domain-locale,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/index.js,../shared/lib/router/utils/parse-relative-url,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/index.js,../shared/lib/router/utils/format-url,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/index.js,./script,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/index.js,next/dist/compiled/react-is,OK,OK
./frontend/node_modules/next/dist/esm/client/index.js,next/dist/compiled/@next/react-dev-overlay/dist/client,OK,OK
./frontend/node_modules/next/dist/esm/client/app-next.js,./app-index,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/components/router-reducer/fetch-server-response.js,react-server-dom-webpack/client,OK,OK
