bms_id,attribute_name,definition,data_type,code_list,class_name,module,layer,cardinality,min_length,max_length,unit_of_measure,status,required,notes,sectors
isNutrientRelevantDataProvided,,Nutrient Declarations Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
nutritionalClaimNutrientElementCode,,Element Claim Code,,Refer to GDD - NutritionalClaimNutrientElementCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
nutritionalClaimTypeCode,,Claim Type Code,,Refer to GDD - NutritionalClaimTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
dailyValueIntakeReference,,Daily Intake Reference,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
nutrientBasisQuantity,,Nutrient Basis,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
preparationStateCode,,Nutritional Preparation Code,,Refer to GDD - PreparationTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
servingSize,,Serving Size,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
servingSizeDescription,,Serving Size Description,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
dailyValueIntakePercent,,Daily Nutrient Value Percentage,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
measurementPrecisionCode,,Nutrient Value Precision Code,,Refer to GDD - MeasurementPrecisionCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
nutrientTypeCode,,Nutrient Code,,Refer to GDD - NutrientTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
quantityContained,,Nutrient Quantity,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
dailyValueIntakePercentMeasurementPrecisionCode,,Daily Nutrient Value Percentage Precision Code,,Refer to GDD - MeasurementPrecisionCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
genus,,Genus,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
species,,Species,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
packagingFeatureCode,,Package Feature Code,,PackagingFeatureCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
platformTypeCode,,Pallet Type Code,,PlatformTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
packagingTypeCode,,Packaging Type Code,,PackageTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
packagingMaterialTypeCode,,Packaging Material Type Code,,PackagingMaterialTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
returnablePackageDepositAmount,,Package Deposit Amount,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
returnablePackageDepositIdentification,,Package Deposit Identifier,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
hasBatchNumber,,Batch Number Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
isPackagingMarkedReturnable,,Packaging Marked Returnable Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
isPriceOnPack,,Retail Price is Marked on the Product Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
packagingMarkedLabelAccreditationCode,,Third Party Accreditation Symbol on Product Package Code,,Refer to GDD - PackagingMarkedLabelAccreditationCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
tradeItemDateOnPackagingTypeCode,,Packaging Date Type Code,,TradeItemDateOnPackagingTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
importClassificationTypeCode,,Customs Classification Type Code,,ImportClassificationTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
importClassificationValue,,Customs Classification Value,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
countryOfOriginStatement,,Country of Origin Declaration,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
provenanceStatement,,Origin Declaration,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
countryCode,,Country of Origin Code,,CountryCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
fileEffectiveEndDateTime,,Digital Asset End Date/Time,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
fileEffectiveStartDateTime,,Digital Asset Start Date/Time,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
fileName,,Digital Asset File Name,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
referencedFileTypeCode,,Digital Asset Type Code,,ReferencedFileTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
uniformResourceIdentifier,,Product Image URL,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
regulationTypeCode,,Regulation Type Code,,RegulationTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
regulatoryPermitIdentification,,Regulatory Permit Identification,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
gHSSignalWordsCode,,Signal Words Code,,Refer to GDD - GHSSignalWordsCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
gHSSymbolDescriptionCode,,Hazardous Symbol Description Code,,Refer to GDD - GHSSymbolDescriptionCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
hazardStatementsCode,,Hazardous Statements Code,,Refer to local code list,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
hazardStatementsDescription,,Hazardous Statements Description,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
precautionaryStatementsCode,,Precautionary Statement Code,,Refer to local code list,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
precautionaryStatementsDescription,,Precautionary Statement Description,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
descriptionShort,,Short Product Name,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
functionalName,,Product Type Description,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
regulatedProductName,,Regulated Product Name,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
tradeItemDescription,,Product Description,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
tradeItemFormCode,,Product Shape Code,,Refer to GDD - TradeItemFormCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
brandName,,Brand Name,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
subBrand,,Sub Brand Name,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
colourDescription,,Alternative Colour Description,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
handlingInstructionsCodeReference,,Product Handling Code,,Refer to GDD - HandlingInstructionsCode_GDSN,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
stackingFactor,,Stacking Factor,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
stackingFactorTypeCode,,Stacking Factor Type Code,,StackingFactorTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
isTradeItemPackedIrregularly,,Irregularly Configured Pallet Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
quantityOfCompleteLayersContainedInATradeItem,,Number of Layers per GTIN,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
quantityOfLayersPerPallet,,Number of Layers per non-GTIN Pallet,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
quantityOfTradeItemsContainedInACompleteLayer,,Number of Units per Layer in a GTIN,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
quantityOfTradeItemsPerPallet,,Count of This Specific Item in a Non-GTIN Logistic Unit,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
quantityOfTradeItemsPerPalletLayer,,Number of Units per Layer in a non-GTIN Pallet,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
minimumTradeItemLifespanFromTimeOfArrival,,Minimum Days of Shelf Life at Arrival,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
minimumTradeItemLifespanFromTimeOfProduction,,Minimum Days of Shelf Life from Production,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
itemPeriodSafeToUseAfterOpening,,Usage Period After Opening,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
netContent,,Net Content,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
netContentStatement,,Net Content Statement,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
dimensionTypeCode,,Additional Dimension Type Code,,Refer to GDD - DimensionTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
drainedWeight,,Drained Weight,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
netWeight,,Net Weight,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
descriptiveSize,,Size Description,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
tradeItemTemperatureConditionTypeCode,,Product Temperature Condition Code,,Refer to GDD - TradeItemTemperatureConditionTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
maximumTemperature,,Maximum Temperature,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
minimumTemperature,,Minimum Temperature,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
temperatureQualifierCode,,Temperature Activity Code,,TemperatureQualifierCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
unitedNationsDangerousGoodsNumber,,United Nations Dangerous Goods Number,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
isTradeItemAVariableUnit,,Variable Measure Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
variableTradeItemTypeCode,,Loose or Pre-Packed Code,,Refer to GDD - VariableTradeItemTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
nutrientBasisQuantityDescription,,Nutrient Basis Description,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
feedAdditiveStatement,,Feed Additive Statement,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
feedAnalyticalConstituentsStatement,,Feed Analytical Constituents Statement,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
feedCompositionStatement,,Feed Composition Statement,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
feedingInstructions,,Feeding Instructions,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
catchAreaCode,,Catch Area Code,,Refer to GDD - CatchAreaCode_GDSN,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
