Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Change Information,Unnamed: 10,Unnamed: 11,Unnamed: 12
BMS ID of Linked GDM Global/Regional Attribute,GDD Name of Linked GDM Global/Regional Attribute,GDD Name of Technical Attribute,Technical Attribute is Conditional/ Optional,BMS ID,GDD Name,Attribute Definition (GDD),short xPath,GDSN Technical Attribute,Change Type,WR Number,Detailed Change Information,Release Version
1377,preparationInstructions,@languageCode,Conditional,1378,preparationInstructions/@languageCode,A code representing the language used in the description.,foodAndBeveragePreparationServingModule/preparationServing/preparationInstructions/@languageCode,YES,nan,nan,nan,nan
1380,servingSuggestion,@languageCode,Conditional,1381,servingSuggestion/@languageCode,A code representing the language used in the description.,foodAndBeveragePreparationServingModule/preparationServing/servingSuggestion/@languageCode,YES,nan,nan,nan,nan
1457,compulsoryAdditiveLabelInformation,@languageCode,Conditional,1458,compulsoryAdditiveLabelInformation/@languageCode,A code representing the language used in the description.,healthRelatedInformationModule/healthRelatedInformation/compulsoryAdditiveLabelInformation/@languageCode,YES,nan,nan,nan,nan
1494,tradeItemFeatureBenefit,@languageCode,Conditional,1495,tradeItemFeatureBenefit/@languageCode,A code representing the language used in the description.,marketingInformationModule/marketingInformation/tradeItemFeatureBenefit/@languageCode,YES,nan,nan,nan,nan
1498,tradeItemMarketingMessage,@languageCode,Conditional,1499,tradeItemMarketingMessage/@languageCode,A code representing the language used in the description.,marketingInformationModule/marketingInformation/tradeItemMarketingMessage/@languageCode,YES,nan,nan,nan,nan
1506,gradeCodeReference,@codeDescription,Optional,1507,gradeCodeReference/@codeDescription,A description for the code value provided.,marketingInformationModule/marketingInformation/gradeCodeReference/@codeDescription,YES,nan,nan,nan,nan
1506,gradeCodeReference,@codeListAgencyCode,Optional,1508,gradeCodeReference/@codeListAgencyCode,A code representing the agency which manages the code list for example 5 for ISO.,marketingInformationModule/marketingInformation/gradeCodeReference/@codeListAgencyCode,YES,nan,nan,nan,nan
1506,gradeCodeReference,@codeListAgencyCodeListVersion,Optional,1509,gradeCodeReference/@codeListAgencyCodeListVersion,The snapshot of the Code List Agency code list at a certain point in time.,marketingInformationModule/marketingInformation/gradeCodeReference/@codeListAgencyCodeListVersion,YES,nan,nan,nan,nan
1506,gradeCodeReference,@codeListAgencyName,Optional,1510,gradeCodeReference/@codeListAgencyName,A name of the agency which manages the code list for example ISO.,marketingInformationModule/marketingInformation/gradeCodeReference/@codeListAgencyName,YES,nan,nan,nan,nan
1506,gradeCodeReference,@codeListName,Optional,1511,gradeCodeReference/@codeListName,The name of the code list which provides the code value.,marketingInformationModule/marketingInformation/gradeCodeReference/@codeListName,YES,nan,nan,nan,nan
1506,gradeCodeReference,@codeListURI,Optional,1512,gradeCodeReference/@codeListURI,A string that refers to the location of the code list which provides the code value.,marketingInformationModule/marketingInformation/gradeCodeReference/@codeListURI,YES,nan,nan,nan,nan
